External ID,Sl no,Debit Acc,DEBIT ACC ID/BANK ACC ID,Credit Account,CREDIT ACC ID,Days,Customer,Entity Internal ID,Date,Advance Ref#,Debit Amt,Credit Amt,Memo,Description
CUST_DEPOSIT-10053,53,A21001,968,20020,,274,Bridgerland Group,2574,06/23/2025,SO# 38849,,33300,Customer Deposits,
CUST_DEPOSIT-10053,53.5,A10003,616,20020,616,274,Bridgerland Group,2574,06/23/2025,SO# 38849,33300,,Customer Deposits,
CUST_DEPOSIT-10054,54,A21001,968,20020,,286,"Brighter Vision Group, LP",3321,06/11/2025,SO# 37443,,64469.49,Customer Deposits,
CUST_DEPOSIT-10054,54.5,A10003,616,20020,616,286,"Brighter Vision Group, LP",3321,06/11/2025,SO# 37443,64469.49,,Customer Deposits,
CUST_DEPOSIT-10055,55,A21001,968,20020,,328,Business Flooring Specialists,485,04/30/2025,SO# 38860,,8529.09,Customer Deposits,
CUST_DEPOSIT-10055,55.5,A10003,616,20020,616,328,Business Flooring Specialists,485,04/30/2025,SO# 38860,8529.09,,Customer Deposits,
CUST_DEPOSIT-10056,56,A21001,968,20020,,288,CAMARATA MASONRY SYSTEMS,487,06/09/2025,SO# 38851,,32336.94,Customer Deposits,
CUST_DEPOSIT-10056,56.5,A10003,616,20020,616,288,CAMARATA MASONRY SYSTEMS,487,06/09/2025,SO# 38851,32336.94,,Customer Deposits,
CUST_DEPOSIT-10057,57,A21001,968,20020,,497,CAMARATA MASONRY SYSTEMS,487,11/12/2024,SO# 37665,,1050.5,Customer Deposits,
CUST_DEPOSIT-10057,57.5,A10003,616,20020,616,497,CAMARATA MASONRY SYSTEMS,487,11/12/2024,SO# 37665,1050.5,,Customer Deposits,
CUST_DEPOSIT-10058,58,A21001,968,20020,,273,CAMARATA MASONRY SYSTEMS,487,06/24/2025,SO# 38850,,7600,Customer Deposits,
CUST_DEPOSIT-10058,58.5,A10003,616,20020,616,273,CAMARATA MASONRY SYSTEMS,487,06/24/2025,SO# 38850,7600,,Customer Deposits,
CUST_DEPOSIT-10059,59,A21001,968,20020,,671,CANDLEWOOD - PERRYSBERG,3546,05/22/2024,SO# 36162,,340,Customer Deposits,36162
CUST_DEPOSIT-10059,59.5,A10003,616,20020,616,671,CANDLEWOOD - PERRYSBERG,3546,05/22/2024,SO# 36162,340,,Customer Deposits,36162
CUST_DEPOSIT-10060,60,A21001,968,20020,,915,CANDLEWOOD EASTRIDGE TN,3323,09/21/2023,SO# 34596,,3194.36,Customer Deposits,
CUST_DEPOSIT-10060,60.5,A10003,616,20020,616,915,CANDLEWOOD EASTRIDGE TN,3323,09/21/2023,SO# 34596,3194.36,,Customer Deposits,
CUST_DEPOSIT-10061,61,A21001,968,20020,,1037,CANDLEWOOD EASTRIDGE TN,3323,05/22/2023,,,4677.08,Customer Deposits,34507
CUST_DEPOSIT-10061,61.5,A10003,616,20020,616,1037,CANDLEWOOD EASTRIDGE TN,3323,05/22/2023,,4677.08,,Customer Deposits,34507
CUST_DEPOSIT-10062,62,A21001,968,20020,,599,"Candlewood Suites -Columbus,Oh-Kautilya group",3324,08/02/2024,SO# 37172,,1095.42,Customer Deposits,
CUST_DEPOSIT-10062,62.5,A10003,616,20020,616,599,"Candlewood Suites -Columbus,Oh-Kautilya group",3324,08/02/2024,SO# 37172,1095.42,,Customer Deposits,
CUST_DEPOSIT-10063,63,A21001,968,20020,,511,"Capital Commercial Flooring, Inc.",1552,10/29/2024,SO# 38148,,114.07,Customer Deposits,
CUST_DEPOSIT-10063,63.5,A10003,616,20020,616,511,"Capital Commercial Flooring, Inc.",1552,10/29/2024,SO# 38148,114.07,,Customer Deposits,
CUST_DEPOSIT-10064,64,A21001,968,20020,,398,"Chesterfield Hospitality, Inc.",1558,02/19/2025,SO# 37810,,43211.64,Customer Deposits,
CUST_DEPOSIT-10064,64.5,A10003,616,20020,616,398,"Chesterfield Hospitality, Inc.",1558,02/19/2025,SO# 37810,43211.64,,Customer Deposits,
CUST_DEPOSIT-10065,65,A21001,968,20020,,551,"Chesterfield Hospitality, Inc.",1558,09/19/2024,SO# 37810,,145779.16,Customer Deposits,
CUST_DEPOSIT-10065,65.5,A10003,616,20020,616,551,"Chesterfield Hospitality, Inc.",1558,09/19/2024,SO# 37810,145779.16,,Customer Deposits,
CUST_DEPOSIT-10066,66,A21001,968,20020,,428,Classic American Homes & Renovations,2708,01/20/2025,SO# 38633,,1432.34,Customer Deposits,
CUST_DEPOSIT-10066,66.5,A10003,616,20020,616,428,Classic American Homes & Renovations,2708,01/20/2025,SO# 38633,1432.34,,Customer Deposits,
CUST_DEPOSIT-10067,67,A21001,968,20020,,580,"Comfort Inn, Rebrand, Princeton IL",3325,08/21/2024,SO# 36866,,458.63,Customer Deposits,
CUST_DEPOSIT-10067,67.5,A10003,616,20020,616,580,"Comfort Inn, Rebrand, Princeton IL",3325,08/21/2024,SO# 36866,458.63,,Customer Deposits,
CUST_DEPOSIT-10068,68,A21001,968,20020,,330,"Comfort Inn, Rebrand, Princeton IL",3325,04/28/2025,SO# 37108,,11.76,Customer Deposits,
CUST_DEPOSIT-10068,68.5,A10003,616,20020,616,330,"Comfort Inn, Rebrand, Princeton IL",3325,04/28/2025,SO# 37108,11.76,,Customer Deposits,
CUST_DEPOSIT-10069,69,A21001,968,20020,,421,Comfort suites NC330,2640,01/27/2025,SO# 38661,,3583,Customer Deposits,
CUST_DEPOSIT-10069,69.5,A10003,616,20020,616,421,Comfort suites NC330,2640,01/27/2025,SO# 38661,3583,,Customer Deposits,
CUST_DEPOSIT-10070,70,A21001,968,20020,,377,CONTEMPO builders,2456,03/12/2025,SO# 38963,,111.8,Customer Deposits,
CUST_DEPOSIT-10070,70.5,A10003,616,20020,616,377,CONTEMPO builders,2456,03/12/2025,SO# 38963,111.8,,Customer Deposits,
CUST_DEPOSIT-10071,71,A21001,968,20020,,323,CONTEMPO builders,2456,05/05/2025,SO# 38867,,459.47,Customer Deposits,
CUST_DEPOSIT-10071,71.5,A10003,616,20020,616,323,CONTEMPO builders,2456,05/05/2025,SO# 38867,459.47,,Customer Deposits,
CUST_DEPOSIT-10072,72,A21001,968,20020,,292,Contractors Tiles Plus,498,06/05/2025,SO# 38846,,7811.06,Customer Deposits,
CUST_DEPOSIT-10072,72.5,A10003,616,20020,616,292,Contractors Tiles Plus,498,06/05/2025,SO# 38846,7811.06,,Customer Deposits,
CUST_DEPOSIT-10073,73,A21001,968,20020,,679,CPNA Management & Services Inc.,502,05/14/2024,SO# 36417,,6041.38,Customer Deposits,36417
