External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-34640/2,185.5,,953,A12001 - Inventory (New),08/30/2025,EXPOSED DESIGN GROUP,3537,34640/2,EXPOSED DESIGN GROUP - Aug  material cost transferred from sps,,0.05
AUGCOGS-34699/2,202,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,CCMH Metro Center LLC,3538,34699/2,CCMH Metro Center LLC - Aug  material cost transferred from sps,1541.94,
AUGCOGS-34699/2,202.5,,953,A12001 - Inventory (New),08/30/2025,CCMH Metro Center LLC,3538,34699/2,CCMH Metro Center LLC - Aug  material cost transferred from sps,,1541.94
AUGCOGS-35057/6,217,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Devkrupa Hospitality Inc,516,35057/6,Devkrupa Hospitality Inc - Aug  material cost transferred from sps,39.15,
AUGCOGS-35057/6,217.5,,953,A12001 - Inventory (New),08/30/2025,Devkrupa Hospitality Inc,516,35057/6,Devkrupa Hospitality Inc - Aug  material cost transferred from sps,,39.15
AUGCOGS-35103/7,223,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,THE TD GROUP,3539,35103/7,THE TD GROUP - Aug  material cost transferred from sps,156.00,
AUGCOGS-35103/7,223.5,,953,A12001 - Inventory (New),08/30/2025,THE TD GROUP,3539,35103/7,THE TD GROUP - Aug  material cost transferred from sps,,156.00
AUGCOGS-35113/2,224,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Layered Dimensions Interior Design,3540,35113/2,Layered Dimensions Interior Design - Aug  material cost transferred from sps,189.20,
AUGCOGS-35113/2,224.5,,953,A12001 - Inventory (New),08/30/2025,Layered Dimensions Interior Design,3540,35113/2,Layered Dimensions Interior Design - Aug  material cost transferred from sps,,189.20
AUGCOGS-35139/2,226,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,La Quinta Brookshire TX,3541,35139/2,La Quinta Brookshire TX - Aug  material cost transferred from sps,16.55,
AUGCOGS-35139/2,226.5,,953,A12001 - Inventory (New),08/30/2025,La Quinta Brookshire TX,3541,35139/2,La Quinta Brookshire TX - Aug  material cost transferred from sps,,16.55
