External ID,S.no,Debit,Account ID,Credit ,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-24JSF07071,23,A51001 - Freight - Out - Expense (New),981,,08/28/2025,"Jasfer Industry Co., Limited",137,24JSF07071,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",1901.47,
AUGCOGS-24JSF07071,23.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/28/2025,"Jasfer Industry Co., Limited",137,24JSF07071,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,1901.47
AUGCOGS-ZB202501005USA,24,A51001 - Freight - Out - Expense (New),981,,08/28/2025,ZBOM Cabinets Crop.,1297,ZB202501005USA,ZBOM Cabinets Crop. - Aug  material cost transferred from sps,3801.4,
AUGCOGS-ZB202501005USA,24.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/28/2025,ZBOM Cabinets Crop.,1297,ZB202501005USA,ZBOM Cabinets Crop. - Aug  material cost transferred from sps,,3801.4
AUGCOGS-35424 - PI,25,A51001 - Freight - Out - Expense (New),981,,08/29/2025,Pantarei,1280,35424 - PI,Pantarei - Aug  material cost transferred from sps,204.96,
AUGCOGS-35424 - PI,25.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/29/2025,Pantarei,1280,35424 - PI,Pantarei - Aug  material cost transferred from sps,,204.96
AUGCOGS-35427 - PI,26,A51001 - Freight - Out - Expense (New),981,,08/29/2025,Pantarei,1280,35427 - PI,Pantarei - Aug  material cost transferred from sps,17.89,
AUGCOGS-35427 - PI,26.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/29/2025,Pantarei,1280,35427 - PI,Pantarei - Aug  material cost transferred from sps,,17.89
AUGCOGS-F18782,27,A51001 - Freight - Out - Expense (New),981,,08/29/2025,Modular Shower Walls,1270,F18782,Modular Shower Walls - Aug  material cost transferred from sps,200,
AUGCOGS-F18782,27.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/29/2025,Modular Shower Walls,1270,F18782,Modular Shower Walls - Aug  material cost transferred from sps,,200
AUGCOGS-35429 - PI,28,A51001 - Freight - Out - Expense (New),981,,08/29/2025,Pantarei,1280,35429 - PI,Pantarei - Aug  material cost transferred from sps,156.19,
AUGCOGS-35429 - PI,28.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/29/2025,Pantarei,1280,35429 - PI,Pantarei - Aug  material cost transferred from sps,,156.19
AUGCOGS-43820-Invoice,29,A51001 - Freight - Out - Expense (New),981,,08/29/2025,"Shenzhen Double Building Materials Co., Ltd.",2291,43820-Invoice,"Shenzhen Double Building Materials Co., Ltd. - Aug  material cost transferred from sps",5402,
AUGCOGS-43820-Invoice,29.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/29/2025,"Shenzhen Double Building Materials Co., Ltd.",2291,43820-Invoice,"Shenzhen Double Building Materials Co., Ltd. - Aug  material cost transferred from sps",,5402
AUGCOGS-31097 - PI,30,A51001 - Freight - Out - Expense (New),981,,08/30/2025,"Jasfer Industry Co., Limited",137,31097 - PI,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",40.76,
AUGCOGS-31097 - PI,30.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,"Jasfer Industry Co., Limited",137,31097 - PI,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,40.76
AUGCOGS-32044 - Invoice,31,A51001 - Freight - Out - Expense (New),981,,08/30/2025,MELLOWLAND FURNISHING INC,168,32044 - Invoice,MELLOWLAND FURNISHING INC - Aug  material cost transferred from sps,130.5,
AUGCOGS-32044 - Invoice,31.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,MELLOWLAND FURNISHING INC,168,32044 - Invoice,MELLOWLAND FURNISHING INC - Aug  material cost transferred from sps,,130.5
AUGCOGS-32045 - Invoice,32,A51001 - Freight - Out - Expense (New),981,,08/30/2025,MELLOWLAND FURNISHING INC,168,32045 - Invoice,MELLOWLAND FURNISHING INC - Aug  material cost transferred from sps,915,
AUGCOGS-32045 - Invoice,32.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,MELLOWLAND FURNISHING INC,168,32045 - Invoice,MELLOWLAND FURNISHING INC - Aug  material cost transferred from sps,,915
AUGCOGS-35389 - PI,34,A51001 - Freight - Out - Expense (New),981,,08/30/2025,MELLOWLAND FURNISHING INC,168,35389 - PI,MELLOWLAND FURNISHING INC - Aug  material cost transferred from sps,1101.83,
AUGCOGS-35389 - PI,34.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,MELLOWLAND FURNISHING INC,168,35389 - PI,MELLOWLAND FURNISHING INC - Aug  material cost transferred from sps,,1101.83
AUGCOGS-11017/VE,35,A51001 - Freight - Out - Expense (New),981,,08/30/2025,ATLAS CONCORDE S.p.A,1232,11017/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,505,
AUGCOGS-11017/VE,35.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/30/2025,ATLAS CONCORDE S.p.A,1232,11017/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,,505
