Invoice #,Customer,Invoice date,Amount
2024-FE-0000297,GIBAM SHOPS SPA,09-23-2024,17556.6
2024-FE-0000300,GIBAM SHOPS SPA,09-23-2024,9093.95
"299, 301, 303",GIBAM SHOPS SPA,09-23-2024,8798.44
2024-FE-0000318,GIBAM SHOPS SPA,09-30-2024,1290
2024-FE-0000310,GIBAM SHOPS SPA,09-30-2024,8931.69
2024-FE-0000315,GIBAM SHOPS SPA,09-30-2024,2736.38
2024-FE-0000316,GIBAM SHOPS SPA,09-30-2024,455.49
2024-FE-0000317,GIBAM SHOPS SPA,09-30-2024,6183.03
2024-FE-0000319,GIBAM SHOPS SPA,09-30-2024,585.79
2024-FE-0000328,GIBAM SHOPS SPA,10-03-2024,973.31
2024-FE-0000329,GIBAM SHOPS SPA,10-03-2024,19186.27
2024-FE-0000330,GIBAM SHOPS SPA,10-03-2024,154.73
2024-FE-0000331,GIBAM SHOPS SPA,10-03-2024,292.65
"314, 327",GIBAM SHOPS SPA,10-03-2024,10517.66
"321, 323, 324, 332, 334, 336, 338",GIBAM SHOPS SPA,10-03-2024,91946.63
"333, 335, 337, 339",GIBAM SHOPS SPA,10-07-2024,65465.84
2024-FE-0000358,GIBAM SHOPS SPA,10-21-2024,3775.85
2024-FE-0000359,GIBAM SHOPS SPA,10-28-2024,1633.5
2024-FE-0000360,GIBAM SHOPS SPA,10-28-2024,443.8
2024-FE-0000361,GIBAM SHOPS SPA,10-28-2024,580.43
2024-FE-0000362,GIBAM SHOPS SPA,10-28-2024,3363.18
2024-FE-0000364,GIBAM SHOPS SPA,10-28-2024,4486.52
2024-FE-0000365,GIBAM SHOPS SPA,10-28-2024,4712.4
2024-FE-0000366,GIBAM SHOPS SPA,10-28-2024,4975.51
2024-FE-0000371,GIBAM SHOPS SPA,10-29-2024,58997.99
"367, 368, 369",GIBAM SHOPS SPA,11-01-2024,62782.28
2024-FE-0000390,GIBAM SHOPS SPA,11-22-2024,7459.87
2024-FE-0000391,GIBAM SHOPS SPA,11-22-2024,20459.62
2024-FE-0000389,GIBAM SHOPS SPA,11-22-2024,2218.98
2024-FE-0000392,GIBAM SHOPS SPA,11-22-2024,520.93
"394, 397",GIBAM SHOPS SPA,11-26-2024,11058.43
2024-FE-0000395,GIBAM SHOPS SPA,11-26-2024,454.67
"393, 396",GIBAM SHOPS SPA,11-26-2024,34421.65
"398, 399",GIBAM SHOPS SPA,11-27-2024,30.31
"410, 420",GIBAM SHOPS SPA,11-29-2024,46746.17
2024-FE-0000401,GIBAM SHOPS SPA,11-29-2024,3598.56
2024-FE-0000402,GIBAM SHOPS SPA,11-29-2024,13962.03
2024-FE-0000403,GIBAM SHOPS SPA,11-29-2024,271.34
2024-FE-0000404,GIBAM SHOPS SPA,11-29-2024,597.87
2024-FE-0000422,GIBAM SHOPS SPA,12-03-2024,3955.38
"418, 419",GIBAM SHOPS SPA,12-03-2024,3705.27
2024-FE-0000423,GIBAM SHOPS SPA,12-04-2024,598.8
2024-FE-0000424,GIBAM SHOPS SPA,12-04-2024,940.68
"411, 412, 426",GIBAM SHOPS SPA,12-05-2024,74045.62
"2024-FE-0000428, 430",GIBAM SHOPS SPA,12-10-2024,174.37
"2024-FE-0000429, 431",GIBAM SHOPS SPA,12-10-2024,183.26
2024-FE-0000432,GIBAM SHOPS SPA,12-11-2024,3482.14
"433, 434, 435, 436, 437, 445, 446, 448, 450,453 , 454",GIBAM SHOPS SPA,12-12-2024,167677.56
2024-FE-0000451,GIBAM SHOPS SPA,12-18-2024,33166.96
