External ID,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Memo,Location,Bin,Bin ID,SERIAL/LOT NUMBER
NSOPENBALBILL139,40391,cogs,"421, 440",8,1253,GIBAM SHOPS SPA,11/30/2023,2580.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1072
NSOPENBALBILL140,40391,cogs,"442, 475",8,1253,GIBAM SHOPS SPA,11/30/2023,6708.68,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1073
NSOPENBALBILL141,40391,cogs,"465, 466",8,1253,GIBAM SHOPS SPA,12/05/2023,2367.23,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1074
NSOPENBALBILL142,40391,cogs,2023-FE-0000474,15,1253,GIBAM SHOPS SPA,12/14/2023,4874.12,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1075
NSOPENBALBILL144,40391,cogs,"489, 502, 506",13,1253,GIBAM SHOPS SPA,12/20/2023,5824.31,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1076
NSOPENBALBILL145,40391,cogs,"490, 493, 495, 503",18,1253,GIBAM SHOPS SPA,12/20/2023,15220.37,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1077
NSOPENBALBILL147,40391,cogs,2023-FE-0000514,15,1253,GIBAM SHOPS SPA,12/27/2023,2594.64,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1078
NSOPENBALBILL148,40391,cogs,"511, 512, 517, 520",18,1253,GIBAM SHOPS SPA,12/27/2023,37869.09,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1079
NSOPENBALBILL149,40391,cogs,2023-FE-0000513,15,1253,GIBAM SHOPS SPA,12/28/2023,1529.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1080
NSOPENBALBILL150,40391,cogs,2023-FE-0000515,15,1253,GIBAM SHOPS SPA,12/28/2023,9659.23,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1081
