External ID,Item internal Id,sold (COGS),Invoice #/Rerence No.,Vendor ID,Vendor,Invoice date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Account ID
NSOPENBALBILL513,40391,cogs,24JSF08023,137,"Jasfer Industry Co., Limited",11/23/2024,"$7,667.92",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL514,40391,cogs,24RT101905,137,"Jasfer Industry Co., Limited",11/28/2024,$50.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL515,40391,cogs,24JSF07060,137,"Jasfer Industry Co., Limited",12/01/2024,$368.34,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL516,40391,cogs,24BL092301,137,"Jasfer Industry Co., Limited",12/02/2024,$765.69,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL517,40391,cogs,24JS090403,137,"Jasfer Industry Co., Limited",12/02/2024,$3.99,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL518,40391,cogs,W-1204,137,"Jasfer Industry Co., Limited",12/04/2024,"-$1,466.25",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL519,40391,cogs,24JS080904,137,"Jasfer Industry Co., Limited",12/05/2024,"$7,500.90",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL520,40391,cogs,24RT052204,137,"Jasfer Industry Co., Limited",12/16/2024,"$10,420.91",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL521,40391,cogs,24JS083002,137,"Jasfer Industry Co., Limited",12/21/2024,"$1,571.59",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL522,40391,cogs,24JSF09010,137,"Jasfer Industry Co., Limited",12/25/2024,"$4,350.49",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL523,40391,cogs,24JS110405,137,"Jasfer Industry Co., Limited",12/26/2024,$83.78,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL524,40391,cogs,24JSF07024,137,"Jasfer Industry Co., Limited",12/31/2024,$80.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL525,40391,cogs,24JSF08020,137,"Jasfer Industry Co., Limited",01/01/2025,"$2,121.40",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL526,40391,cogs,24JSF08029,137,"Jasfer Industry Co., Limited",01/01/2025,"$4,775.33",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL527,40391,cogs,24JSF09055,137,"Jasfer Industry Co., Limited",01/01/2025,"$1,672.93",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL528,40391,cogs,W-0103,137,"Jasfer Industry Co., Limited",01/03/2025,"-$1,061.27",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL529,40391,cogs,24JSF12050,137,"Jasfer Industry Co., Limited",01/06/2025,$839.54,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL530,40391,cogs,24JS110401,137,"Jasfer Industry Co., Limited",01/08/2025,"$9,755.46",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL531,40391,cogs,24JSF10027,137,"Jasfer Industry Co., Limited",01/08/2025,$800.01,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL532,40391,cogs,W-0109,137,"Jasfer Industry Co., Limited",01/09/2025,-$228.07,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL533,40391,cogs,24JSF08070,137,"Jasfer Industry Co., Limited",01/13/2025,"$23,531.23",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL534,40391,cogs,WHGV2409-1,137,"Jasfer Industry Co., Limited",01/14/2025,$910.19,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL535,40391,cogs,24JSF02010,137,"Jasfer Industry Co., Limited",01/16/2025,$121.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL536,40391,cogs,W-0117,137,"Jasfer Industry Co., Limited",01/17/2025,"-$8,140.67",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL537,40391,cogs,24BL123001,137,"Jasfer Industry Co., Limited",01/20/2025,$590.90,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL538,40391,cogs,25JSF01021,137,"Jasfer Industry Co., Limited",01/20/2025,$330.60,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL539,40391,cogs,24JSF08001,137,"Jasfer Industry Co., Limited",01/20/2025,"$1,619.71",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL540,40391,cogs,24JSF08051,137,"Jasfer Industry Co., Limited",01/20/2025,"$3,208.66",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL541,40391,cogs,24JSF12032,137,"Jasfer Industry Co., Limited",01/21/2025,"$5,310.16",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL542,40391,cogs,24JS111306,137,"Jasfer Industry Co., Limited",01/21/2025,$0.58,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL543,40391,cogs,24JSF04008,137,"Jasfer Industry Co., Limited",01/21/2025,"$2,913.27",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL544,40391,cogs,24JSF11008,137,"Jasfer Industry Co., Limited",01/21/2025,$205.90,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL545,40391,cogs,24JSF11009,137,"Jasfer Industry Co., Limited",01/21/2025,$104.69,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL546,40391,cogs,24JSF12046,137,"Jasfer Industry Co., Limited",01/23/2025,"$14,370.73",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL547,40391,cogs,24RT092505,137,"Jasfer Industry Co., Limited",01/23/2025,$7.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
