NSOPENBALBILL139,40391,cogs,"421, 440",8,1253,GIBAM SHOPS SPA,11/30/2023,11/30/2023,2580.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL140,40391,cogs,"442, 475",8,1253,GIBAM SHOPS SPA,11/30/2023,11/30/2023,6708.68,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL141,40391,cogs,"465, 466",8,1253,GIBAM SHOPS SPA,12-05-2023,05/12/2023,2367.23,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL142,40391,cogs,2023/FE/0000474,15,1253,GIBAM SHOPS SPA,12/14/2023,12/14/2023,4874.12,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL144,40391,cogs,"489, 502, 506",13,1253,GIBAM SHOPS SPA,12/20/2023,12/20/2023,5824.31,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL145,40391,cogs,"490, 493, 495, 503",18,1253,GIBAM SHOPS SPA,12/20/2023,12/20/2023,15220.37,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL147,40391,cogs,2023/FE/0000514,15,1253,GIBAM SHOPS SPA,12/27/2023,12/27/2023,2594.64,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL148,40391,cogs,"511, 512, 517, 520",18,1253,GIBAM SHOPS SPA,12/27/2023,12/27/2023,37869.09,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL149,40391,cogs,2023/FE/0000513,15,1253,GIBAM SHOPS SPA,12/28/2023,12/28/2023,1529.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL150,40391,cogs,2023/FE/0000515,15,1253,GIBAM SHOPS SPA,12/28/2023,12/28/2023,9659.23,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL151,40391,cogs,2023/FE/0000516,15,1253,GIBAM SHOPS SPA,12/28/2023,12/28/2023,1422.94,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL152,40391,cogs,"518, 521",8,1253,GIBAM SHOPS SPA,12/28/2023,12/28/2023,6957.88,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL153,40391,cogs,"522, 527, 537, 539",18,1253,GIBAM SHOPS SPA,12/28/2023,12/28/2023,5599.05,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL154,40391,cogs,2023/FE/0000531,15,1253,GIBAM SHOPS SPA,12/31/2023,12/31/2023,4225.59,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL155,40391,cogs,2023/FE/0000533,15,1253,GIBAM SHOPS SPA,12/31/2023,12/31/2023,1573.68,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL156,40391,cogs,2023/FE/0000535,15,1253,GIBAM SHOPS SPA,12/31/2023,12/31/2023,3966.62,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL157,40391,cogs,2023/FE/0000538,15,1253,GIBAM SHOPS SPA,12/31/2023,12/31/2023,14318.36,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
