External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,Bin ID,serial/lot number,Location 
NSOPENBALBILL200,#N/A,40391,cogs,2024-BILL-003,1253,,GIBAM SHOPS SPA,06/21/2024,0.28,3,Graniti Vicentia LLC,"180, 181, 187, 188, 189",A20001,CW-066,17,1725,2
NSOPENBALBILL204,#N/A,40391,cogs,2024-BILL-004,1253,,GIBAM SHOPS SPA,06/28/2024,6802.52,3,Graniti Vicentia LLC,"202, 203, 204, 205, 206, 207, 22 (Import SPS data by Invoice in Netsuite)",A20001,CW-067,17,1726,2
NSOPENBALBILL215,#N/A,40391,cogs,2024-BILL-005,1253,,GIBAM SHOPS SPA,08/02/2024,50469.92,3,Graniti Vicentia LLC,"260, 261, 262, 271, 313 (Import SPS data by Invoice in Netsuite)",A20001,CW-068,17,1727,2
NSOPENBALBILL217,#N/A,40391,cogs,2024-BILL-006,1253,,GIBAM SHOPS SPA,08/07/2024,48732.84,3,Graniti Vicentia LLC,"259, 263, 273, 274, 275, 276 (Import SPS data by Invoice in Netsuite)",A20001,CW-069,17,1728,2
NSOPENBALBILL238,#N/A,40391,cogs,2024-BILL-007,1253,,GIBAM SHOPS SPA,10/03/2024,91946.63,3,Graniti Vicentia LLC,"321, 323, 324, 332, 334, 336, 338 (Import SPS data by Invoice in Netsuite)",A20001,CW-070,17,1729,2
NSOPENBALBILL271,#N/A,40391,cogs,2024-BILL-008,1253,,GIBAM SHOPS SPA,12/12/2024,167677.56,3,Graniti Vicentia LLC,"433, 434, 435, 436, 437, 445, 446, 448, 450,453 , 454 (Import SPS data by Invoice in Netsuite)",A20001,CW-071,17,1730,2
NSOPENBALBILL275,#N/A,40391,cogs,"2025-FE-0000005, 6 , 7",1253,,GIBAM SHOPS SPA,01/27/2025,64830.44,3,Graniti Vicentia LLC,"2025-FE-0000005, 6 , 7",A20001,CW-072,17,1731,2
NSOPENBALBILL293,#N/A,40391,cogs,W-0509,1253,,GIBAM SHOPS SPA,05/09/2025,-139822.21,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-073,17,1732,2
NSOPENBALBILL294,#N/A,40391,cogs,23533943,1254,,Graniti Fiandre Italy,10/19/2023,50142.18,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-074,17,1733,2
NSOPENBALBILL295,#N/A,40391,cogs,23540770,1254,,Graniti Fiandre Italy,12/14/2023,60159.82,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-075,17,1734,2
NSOPENBALBILL296,#N/A,40391,cogs,23541378,1254,,Graniti Fiandre Italy,12/20/2023,85588.11,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-076,17,1735,2
NSOPENBALBILL297,#N/A,40391,cogs,89,121,,GRANITI VICENTIA REALTY 2,01/15/2025,54000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-077,17,1736,2
NSOPENBALBILL298,#N/A,40391,cogs,93,121,,GRANITI VICENTIA REALTY 2,02/15/2025,56000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-078,17,1737,2
NSOPENBALBILL299,#N/A,40391,cogs,97,121,,GRANITI VICENTIA REALTY 2,03/15/2025,56000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-079,17,1738,2
NSOPENBALBILL300,#N/A,40391,cogs,101,121,,GRANITI VICENTIA REALTY 2,04/15/2025,56000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20002,CW-080,17,1739,2
NSOPENBALBILL301,#N/A,40391,cogs,106,121,,GRANITI VICENTIA REALTY 2,05/01/2025,56000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20003,CW-081,17,1740,2
NSOPENBALBILL302,#N/A,40391,cogs,111,121,,GRANITI VICENTIA REALTY 2,06/01/2025,56000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20004,CW-082,17,1741,2
NSOPENBALBILL303,#N/A,40391,cogs,"SR410-2,SR410-4",1255,,GREEN RIVER INTL INC,07/17/2024,6010.33,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20005,CW-083,17,1742,2
